,7m,8m,9m,10m,11m,12m,now,stock
,60.00,102.00,63.00,0.00,0.00,0.00,131.00,
,80.00,0.00,0.00,0.00,6.00,2.00,172.00,
,0.00,0.00,130.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,180.00,7.00,0.00,233.00,
,0.00,0.00,0.00,0.00,0.00,28.00,272.00,
,0.00,60.00,0.00,60.00,0.00,60.00,60.00,
,"1,147.00","1,033.00","1,454.00",728.00,"1,198.00","1,034.00",629.00,
,6.00,0.00,0.00,0.00,0.00,0.00,144.00,
,0.00,145.00,0.00,0.00,0.00,0.00,0.00,
,526.00,193.00,117.00,289.00,153.00,96.00,178.00,
,180.00,0.00,174.00,254.00,813.00,846.00,633.00,
,818.00,646.00,"1,021.50",673.00,624.50,804.50,408.50,
,20.00,42.00,48.00,56.00,122.00,90.00,144.00,
,60.00,0.00,0.00,0.00,0.00,0.00,120.00,
,60.00,240.00,282.00,236.00,448.00,382.00,212.00,
,45.00,36.00,0.00,30.00,6.00,0.00,632.00,
,268.00,199.00,104.00,343.00,382.00,187.00,169.00,
,0.00,0.00,0.00,0.00,0.00,0.00,12.00,
,0.00,0.00,0.00,0.00,0.00,0.00,6.00,
,0.00,3.00,0.00,9.00,20.00,19.00,19.00,
,0.00,0.00,0.00,2.00,3.00,6.00,3.00,
,0.00,0.00,60.00,146.00,210.00,210.00,194.00,
,8.00,4.00,0.00,0.00,4.00,24.00,-20.00,
,0.00,0.00,0.00,0.00,0.00,28.00,92.00,
,30.00,0.00,0.00,14.00,0.00,0.00,235.00,
,60.00,0.00,75.00,7.00,60.00,0.00,128.00,
,8.00,36.00,8.00,10.00,11.00,13.00,14.00,
,12.00,107.00,14.00,21.00,76.00,74.00,54.00,
,"2,011.00","1,960.00","1,941.00","1,792.00","1,616.00","1,622.00",895.00,
,"1,875.00","2,176.00","2,653.00","2,127.00","1,985.00","1,685.00","1,422.00",
,0.00,9.00,111.00,27.00,69.00,18.00,742.00,
,175.00,30.00,222.00,308.00,283.00,93.00,307.00,
